@relation 'Altura-de-ola-weka.filters.unsupervised.attribute.Remove-R11,16,17-weka.filters.unsupervised.attribute.Remove-R14-weka.filters.unsupervised.attribute.RemoveUseless-M50.0-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute air numeric
@attribute pres numeric
@attribute rhum numeric
@attribute uwnd numeric
@attribute vwnd numeric
@attribute WDIR numeric
@attribute WSPD numeric
@attribute GST numeric
@attribute DPD numeric
@attribute APD numeric
@attribute PRES numeric
@attribute ATMP numeric
@attribute WTMP numeric
@attribute class {Baja,Media,Moderada,MuyAlta}

@data
0.862277,0.711367,0.903846,0.511066,0.648718,0.537604,0.311224,0.264591,0.290657,0.377972,0.715723,0.922156,0.871287,Media
0.856286,0.694764,0.846154,0.452716,0.776923,0.476323,0.469388,0.420233,0.37301,0.296621,0.699371,0.922156,0.861386,Moderada
0.892217,0.664112,0.903846,0.490946,0.825641,0.456825,0.678571,0.607004,0.290657,0.285357,0.661635,0.892216,0.851485,Moderada
0.79042,0.648787,1,0.567404,0.776923,0.548747,0.469388,0.431907,0.37301,0.43179,0.649057,0.94012,0.841584,Moderada
0.928143,0.623244,0.961538,0.539236,0.758974,0.506964,0.423469,0.392996,0.425606,0.446809,0.626415,0.934132,0.821782,Moderada
0.928143,0.587484,0.961538,0.668008,0.812821,0.532033,0.591837,0.533074,0.488581,0.356696,0.58239,0.946108,0.831683,Moderada
0.904192,0.62963,0.826923,0.736418,0.664103,0.662953,0.596939,0.548638,0.488581,0.434293,0.598742,0.916168,0.80198,Moderada
0.844311,0.678161,0.807692,0.684105,0.564103,0.643454,0.459184,0.400778,0.37301,0.390488,0.657862,0.922156,0.792079,Moderada
0.874251,0.717752,0.75,0.684105,0.525641,0.688022,0.357143,0.330739,0.544637,0.470588,0.696855,0.922156,0.792079,Media
0.8503,0.738186,0.788462,0.676056,0.535897,0.70195,0.30102,0.311284,0.425606,0.423029,0.72327,0.922156,0.792079,Media
0.862277,0.754789,0.807692,0.6499,0.48718,0.707521,0.346939,0.291829,0.37301,0.364205,0.739623,0.898204,0.792079,Media
0.886226,0.768838,0.75,0.668008,0.476923,0.727019,0.326531,0.287938,0.425606,0.372966,0.761006,0.916168,0.80198,Media
0.892217,0.770115,0.711538,0.637827,0.469231,0.749304,0.193878,0.175097,0.425606,0.347935,0.754717,0.904192,0.80198,Media
0.838323,0.758621,0.711538,0.599598,0.5,0.718663,0.234694,0.233463,0.425606,0.341677,0.752201,0.904192,0.80198,Baja
