@relation 'Altura-de-ola-weka.filters.unsupervised.attribute.Remove-R11,16,17-weka.filters.unsupervised.attribute.Remove-R14-weka.filters.unsupervised.attribute.Remove-V-R2,4,5,7,8,9,10,11,12,14-weka.filters.unsupervised.attribute.Remove-R4'

@attribute pres numeric
@attribute uwnd numeric
@attribute vwnd numeric
@attribute GST numeric
@attribute DPD numeric
@attribute APD numeric
@attribute PRES numeric
@attribute ATMP numeric
@attribute class {Baja,Media,Moderada,MuyAlta}

@data
101450,4.300003,10.600006,9,8.33,5.3,1014.3,14.4,Media
100930,1.800003,11.800003,13.6,5.88,4.93,1008.9,13.6,Media
100400,2.600006,9.699997,9.8,7.14,5.56,1004.1,13.8,Media
100070,4.100006,5,8.3,9.09,5.95,1001.1,14.3,Moderada
99920,6.699997,-0.800003,0.8,10,6.88,1000,13.8,Media
99920,9.199997,-2.199997,5.6,10,7.12,999.1,13.6,Media
100050,9.400009,-5.599991,8.4,9.09,6.53,1000,14,Media
100280,10.5,-4.599991,8.7,9.09,6.27,1000.9,14.2,Media
100530,11.199997,-3,11.7,9.09,5.61,1003.7,14.4,Media
100660,11.800003,-1,10.3,9.09,5.64,1004.9,14.2,Media
100710,8.800003,3.199997,9.7,8.33,5.38,1005.7,14.1,Media
100570,6.300003,5.699997,9.8,6.67,5.29,1005.1,13.8,Media
100260,0.5,6.900009,7.4,7.69,5.36,1002.7,13.3,Baja
100060,2.800003,0.199997,5,6.67,5.06,1000.9,13.4,Baja
100350,7.100006,-3.800003,2.4,12.12,5.86,1002.4,14.1,Baja
100690,9.900009,-2.5,6.9,6.67,5.2,1004.1,14,Baja
101010,9.600006,-4.5,9.4,7.14,4.96,1008.2,14.2,Media
101240,12.199997,-1.5,9.7,9.09,5.67,1010.1,13.9,Media
101350,10.400009,-2,11.1,9.09,4.94,1012,13.9,Media
101650,10.400009,-4.899994,11.4,8.33,5.55,1014.5,14.3,Media
101980,9.699997,-4.899994,11.5,7.14,5.23,1017.8,14.1,Media
102230,10.5,-2.399994,10.1,8.33,5.6,1020.2,14.1,Media
102220,13.400009,-0.5,12.3,7.69,5.22,1020.3,14.2,Media
102350,12.699997,0.900009,12.3,7.14,5.59,1021,14.4,Media
102310,13,0.400009,10.5,8.33,5.48,1021.1,14.4,Media
102350,9.400009,2.100006,10.3,7.14,5.42,1021.4,13.9,Media
102190,8.300003,4.5,8.1,8.33,5.53,1021.1,14.1,Media
102150,4.5,4.300003,6.4,7.69,5.14,1020.1,14.3,Baja
101980,4.900009,4.699997,6.3,7.14,5.24,1018.7,14.4,Media
102070,8.800003,5.699997,10.4,5.88,4.62,1018.5,14.7,Media
102130,8.600006,7.600006,10.1,5.88,4.79,1018.8,15.2,Media
102110,9.100006,10.699997,12.7,6.25,4.77,1018.9,15.3,Media
102080,7.900009,11.400009,13.2,7.14,4.8,1018.9,14.8,Moderada
